ensg,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_symbol
ENSG00000121410.12,12.016439019412452,0.0921852885352742,0.12418224827371135,0.4542109646791935,0.5016070384635647,A1BG
ENSG00000268895.6,79.93057566222674,0.39141139404659103,0.09710668792815962,4.819209305566675e-5,8.944059312414627e-5,A1BG-AS1
ENSG00000148584.15,3.5261217724848044,-1.1101362973913167,0.24200255849227656,0.02138367654571097,0.02965900340043556,A1CF
ENSG00000175899.15,60866.01249535912,-0.9955255585586082,0.09160253270923444,1.754460463293175e-28,1.5398245456684035e-27,A2M
ENSG00000245105.4,121.75221277383932,-1.3274939985985974,0.0992877874845575,2.9616605300195456e-41,4.927518767416144e-40,A2M-AS1
ENSG00000166535.20,370.45331142317207,3.3537560891781624,0.30096664818291863,4.136813520360492e-24,2.8426817947994895e-23,A2ML1
ENSG00000256069.7,20.561581504879868,-1.5746435510918289,0.13927784984332278,3.8896670695242246e-30,3.722160439272134e-29,A2MP1
ENSG00000184389.9,2.5217966218765486,-0.6982683933868759,0.2037945123737173,3.788469729933932e-4,6.43597265711202e-4,A3GALT2
ENSG00000128274.17,1091.550562002828,-0.2635145363088322,0.11995600578164652,0.02565331800886082,0.03518938679056951,A4GALT
ENSG00000118017.4,5.907127295266849,-1.0604429029771856,0.2170214834982114,4.13894828738587e-7,9.223400010915104e-7,A4GNT
ENSG00000094914.14,2049.402472583455,0.17372970961931414,0.0447215884668504,1.0094720892323376e-4,1.8138091778968683e-4,AAAS
ENSG00000081760.17,4147.099972967049,-0.2343515116235388,0.12763314920184726,0.058852726114082,0.07663693956254082,AACS
ENSG00000250420.8,3.337461993365632,1.892056829880255,0.3285099180734524,5.071389775829812e-7,1.122958704933876e-6,AACSP1
ENSG00000114771.14,163.96482135761954,-3.926156867146325,0.3531027704351532,6.50701698497251e-30,6.135748851214543e-29,AADAC
ENSG00000197953.6,7.337779473881779,-0.6632067357489417,0.31998557131538147,2.160118950001996e-9,5.794893168005897e-9,AADACL2
ENSG00000242908.6,12.429820885997277,-1.25121061814589,0.20467261216230245,3.2590912633328465e-10,9.308775498437215e-10,AADACL2-AS1
ENSG00000188984.12,5.52245483608942,-4.714209727283394,0.4418926704652554,3.245484487845286e-27,2.6728844345344367e-26,AADACL3
ENSG00000240602.7,13.188952605387016,-2.514864488862416,0.1853521263827546,3.835977091933207e-43,6.909183997097666e-42,AADACP1
ENSG00000109576.14,255.62285689518572,0.13788871976604716,0.13568175748958777,0.14762050662048534,0.1801086752034506,AADAT
ENSG00000103591.13,4097.41675741333,0.9956360113176737,0.06719887901668191,6.691141641532274e-50,1.6936238634475676e-48,AAGAB
ENSG00000115977.20,3155.55386365565,0.02823343326269441,0.05381800266345993,0.6050681386045311,0.6471447616547887,AAK1
ENSG00000087884.14,410.83414024089825,-0.18915177638264963,0.09636905096002124,2.9420897489510677e-5,5.5864489792378814e-5,AAMDC
ENSG00000127837.10,6383.327817199907,0.3203681384740811,0.06564467986037671,1.106854165121942e-6,2.37968030209758e-6,AAMP
ENSG00000129673.10,5.09549764871688,0.26651379917805457,0.19799754407065157,0.16488554488576104,0.1994019441107257,AANAT
ENSG00000131043.12,3511.3200466846165,0.3553420037003357,0.05264596669331643,1.337830217342099e-11,4.2251392949487246e-11,AAR2
ENSG00000205002.4,2090.6812587287823,1.973406475813783,0.2244401151072755,2.1856878091947066e-19,1.1419237206720848e-18,AARD
ENSG00000090861.17,8924.648379517728,0.4989885274676669,0.0782398520173752,3.2081338590188855e-10,9.17029205316971e-10,AARS1
ENSG00000124608.5,1178.701945989991,0.20756818095065488,0.06599449834572464,0.00136098345129838,0.00217483161402534,AARS2
ENSG00000266967.7,48.69028436579312,-0.3825121655238467,0.1018695566156959,1.514332913424665e-4,2.6742877650162336e-4,AARSD1
ENSG00000234969.1,12.602766913826908,-0.405904230994915,0.10890043863637572,1.7071302609619044e-4,2.9997641980473224e-4,AARSD1P1
ENSG00000157426.14,1076.0226364143994,-0.15951284939654214,0.05426003978814618,0.00313099797557228,0.00480402684107539,AASDH
ENSG00000149313.11,2210.269004626452,0.4247721821377381,0.06664915714033129,1.7791923795218666e-10,5.182105246786073e-10,AASDHPPT
ENSG00000008311.15,1362.1074380873229,-1.478794134233776,0.1053562781761418,2.1105051792757277e-45,4.2446193995399634e-44,AASS
ENSG00000215458.8,143.7042448020114,0.5429699735201093,0.1755909082426076,0.001533308917142,0.00243629400251834,AATBC
ENSG00000275700.5,3131.2313378173894,0.5753486342044708,0.0656946739535004,2.0361797719726376e-18,9.9790637593868e-18,AATF
ENSG00000181409.14,277.1584215894144,-0.01395456403847514,0.10871853484510546,0.899567878330688,0.9141436390339772,AATK
ENSG00000183044.12,3232.993913130436,1.5716914985259427,0.16501182390398436,3.628070472363259e-22,2.2259919454530726e-21,ABAT
ENSG00000165029.17,4353.752601247417,-1.056598059274093,0.12465938432239344,8.061719655414097e-18,3.8111699374957636e-17,ABCA1
ENSG00000154263.17,673.3610695718374,-3.319990640375611,0.17543449550898194,5.733551810197112e-81,6.118194764370407e-79,ABCA10
ENSG00000251595.7,60.00589274483048,-0.28679540402126824,0.08790460548535341,0.00105976146686301,0.00171388670961626,ABCA11P
ENSG00000144452.15,1551.889424786822,1.687695631513832,0.29144000172287393,1.2168648898002952e-9,3.321827271181168e-9,ABCA12
ENSG00000179869.15,104.88780135069034,0.6001850561875007,0.3088956354769401,0.4024430289894635,0.44932150752624894,ABCA13
ENSG00000238098.9,44.31975385325699,0.710806827770692,0.1214998987953716,3.3025336707227923e-9,8.724700449015195e-9,ABCA17P
ENSG00000107331.17,4058.268340588872,0.03483900297904768,0.08577715854044773,0.7357077208754941,0.7689109899863138,ABCA2
ENSG00000167972.14,5058.585088871429,1.032823677297229,0.12032576772202498,6.196389323058051e-18,2.950969485768455e-17,ABCA3
ENSG00000198691.13,275.0535497953261,0.33333613323076955,0.17922921578627338,0.05832406529271388,0.07601192324524898,ABCA4
ENSG00000154265.16,2012.6069562525545,-1.5423007198249774,0.0971849091686104,2.6427448614581397e-57,9.445424857247675e-56,ABCA5
ENSG00000154262.13,1380.6195926266057,-2.286481764045465,0.15182729868038353,3.427983080845751e-52,9.575434848708965e-51,ABCA6
ENSG00000064687.13,919.3029852560344,0.136873753487032,0.08618480901520008,0.11147942236846602,0.1387995074523858,ABCA7
ENSG00000141338.14,3493.8141218375904,-3.212846572970251,0.2112877666110923,2.8833936638136663e-53,8.536514275152935e-52,ABCA8
ENSG00000154258.17,1666.3980638404882,-3.118142293442645,0.1776748077648112,4.967652539006745e-70,3.2388002762557167e-68,ABCA9
